Date,Open,High,Low,Close,Adj Close,Volume
2000-10-10,64.289200,64.667397,63.164101,63.381599,28.940474,11132802
2000-10-11,63.343800,63.343800,61.953999,62.426701,28.504452,10166807
2000-10-12,62.256500,63.249199,61.008499,61.859402,28.245420,25691906
2000-10-13,61.415100,61.415100,59.798401,60.044201,27.416595,23036752
2000-10-16,61.528500,62.776501,57.879200,58.049400,26.505760,30951983
2000-10-17,57.860298,58.881302,56.252998,57.047199,26.048143,45668190
2000-10-18,56.820301,57.188999,55.600700,56.404301,25.754593,16558027
2000-10-19,55.922100,58.304600,54.277100,58.257301,26.600683,20875014
2000-10-20,58.323502,59.278400,55.799198,55.941002,25.543047,11294171013
2000-10-23,56.158501,56.347599,53.643700,54.324299,24.804848,21378579
2000-10-24,54.456699,55.770901,53.898899,55.458900,25.322914,20010004
2000-10-25,55.496700,57.387501,55.213100,57.103901,26.074032,6749975729
2000-10-26,58.389702,58.389702,57.671200,57.803501,26.393478,1324964072
2000-10-27,58.030399,58.427502,56.754101,57.510399,26.259640,11961077
2000-10-30,57.482101,58.522099,56.744701,56.962101,26.009289,15738335
2000-10-31,56.924301,57.472599,55.695202,57.321400,26.173342,7168670424
2000-11-01,57.463200,59.023102,57.463200,58.172199,26.561823,24166329
2000-11-02,58.427502,59.883499,58.068199,59.788898,27.300020,23029713
2000-11-03,59.940201,60.677601,59.278400,59.373001,27.110111,19858750
2000-11-06,60.015800,60.545300,58.994801,59.089298,26.980581,19624042
2000-11-07,58.994801,59.684898,58.919102,59.373001,27.110111,12919388
2000-11-08,59.562000,60.885601,59.467499,60.318401,27.541796,26355425
2000-11-09,59.987499,60.961300,59.562000,60.044201,27.416595,16809881
2000-11-10,59.959099,60.412899,58.938000,58.994801,26.937426,14736737
2000-11-13,56.725700,58.134399,56.725700,57.170101,26.104259,12458216
2000-11-14,56.952599,59.146000,56.952599,58.805698,26.851084,20638444
2000-11-15,59.013699,59.978001,58.559898,59.306801,27.079891,16646071
2000-11-16,59.098801,59.637699,58.474800,59.155499,27.010801,11521737
2000-11-17,58.777302,58.871899,58.068199,58.654400,26.781998,16711878
2000-11-20,58.994801,59.183899,58.559898,58.720600,26.812225,9938265
2000-11-21,58.663898,58.824600,58.162800,58.503201,26.712957,16661371
2000-11-22,58.616600,58.824600,58.219501,58.238400,26.592049,6647236
2000-11-23,58.172199,59.032600,57.907501,59.013699,26.946058,12650129
2000-11-24,58.541000,59.921299,58.541000,59.221699,27.041035,20213394
2000-11-27,59.751099,60.412899,59.401299,60.394001,27.576315,20111308
2000-11-28,60.167099,62.577900,60.167099,62.133598,28.370630,44589458
2000-11-29,62.020100,62.776501,61.263802,61.641998,28.146162,23413940
2000-11-30,61.831100,62.568501,61.566299,61.982300,28.301542,11802149
2000-12-01,61.736500,62.417198,61.292198,62.095798,28.353367,21292861
2000-12-04,62.379398,63.504501,62.379398,62.984501,28.759153,22169283
2000-12-05,63.305901,64.421501,63.296501,64.156799,29.294437,28678798
2000-12-06,64.431000,65.187302,63.589600,63.721901,29.095854,16804433
2000-12-07,63.589600,64.336403,63.532799,63.816502,29.139046,9796626
2000-12-08,63.816502,64.601196,63.580101,64.062302,29.251286,21313042
