Date,Open,High,Low,Close,Adj Close,Volume
1991-01-02,20.960100,21.858400,20.960100,21.858400,4.024777,0
1991-01-03,20.960100,21.858400,20.960100,21.858400,4.024777,0
1991-01-04,null,null,null,null,null,null
1991-01-07,20.361300,21.259600,20.061800,21.109800,3.886938,0
1991-01-08,null,null,null,null,null,null
1991-01-09,21.259600,21.259600,20.061800,20.511000,3.776681,0
1991-01-10,null,null,null,null,null,null
1991-01-11,20.361300,20.960100,20.061800,20.960100,3.859374,0
1991-01-14,20.660700,20.660700,20.061800,20.361300,3.749117,0
1991-01-15,null,null,null,null,null,null
1991-01-16,null,null,null,null,null,null
1991-01-17,null,null,null,null,null,null
1991-01-18,null,null,null,null,null,null
1991-01-21,null,null,null,null,null,null
1991-01-22,null,null,null,null,null,null
1991-01-23,20.660700,20.660700,19.762400,20.061800,3.693969,0
1991-01-24,19.762400,19.762400,19.462999,19.762400,3.638842,0
1991-01-25,19.762400,19.762400,18.864100,19.163500,3.528567,0
1991-01-28,null,null,null,null,null,null
1991-01-29,null,null,null,null,null,null
1991-01-30,null,null,null,null,null,null
1991-01-31,20.061800,20.061800,19.313299,19.462999,3.583713,0
1991-02-01,19.462999,19.762400,19.313299,19.762400,3.638842,0
1991-02-04,20.361300,20.660700,19.762400,20.061800,3.693969,0
1991-02-05,20.361300,20.361300,19.762400,20.061800,3.693969,0
1991-02-06,20.061800,20.211599,19.912100,20.061800,3.693969,0
1991-02-07,19.163500,19.462999,19.013800,19.462999,3.583713,0
1991-02-08,19.163500,19.313299,18.864100,18.864100,3.473438,0
1991-02-11,18.564699,18.564699,17.816099,18.265301,3.363182,0
1991-02-12,null,null,null,null,null,null
1991-02-13,17.666401,17.965799,17.217300,17.217300,3.170214,0
1991-02-14,17.516701,17.965799,17.367001,17.516701,3.225342,0
1991-02-15,17.816099,17.965799,17.067499,17.666401,3.252906,0
1991-02-18,null,null,null,null,null,null
1991-02-19,19.762400,20.960100,19.762400,20.361300,3.749117,0
1991-02-20,19.462999,19.912100,19.163500,19.912100,3.666406,0
1991-02-21,20.511000,20.511000,19.762400,19.762400,3.638842,0
1991-02-22,20.660700,20.960100,20.361300,20.660700,3.804245,0
1991-02-25,null,null,null,null,null,null
1991-02-26,20.960100,22.756701,20.660700,22.307600,4.107488,0
1991-02-27,22.756701,23.205900,21.858400,23.056200,4.245327,0
1991-02-28,22.906401,23.056200,22.457300,22.457300,4.135052,0
1991-03-01,null,null,null,null,null,null
1991-03-04,22.157900,22.756701,20.660700,22.457300,4.135052,0
1991-03-05,22.157900,22.756701,22.157900,22.756701,4.190180,0
1991-03-06,null,null,null,null,null,null
1991-03-07,20.960100,21.858400,20.960100,21.858400,4.024777,0
1991-03-08,21.109800,22.157900,20.960100,22.157900,4.079925,0
1991-03-11,21.559000,21.858400,21.259600,21.708700,3.997214,0
1991-03-12,21.559000,21.708700,20.960100,21.708700,3.997214,0
1991-03-13,21.409300,21.858400,21.259600,21.708700,3.997214,0
1991-03-14,null,null,null,null,null,null
1991-03-15,21.259600,22.157900,21.259600,21.708700,3.997214,0
1991-03-18,21.259600,21.559000,20.960100,21.259600,3.914521,0
1991-03-19,null,null,null,null,null,null
1991-03-20,20.960100,21.259600,20.061800,20.960100,3.859374,0
1991-03-21,20.361300,21.109800,20.361300,20.960100,3.859374,0
1991-03-22,21.259600,21.559000,20.660700,20.660700,3.804245,0
1991-03-25,20.660700,20.960100,20.361300,20.960100,3.859374,0
1991-03-26,20.361300,20.960100,20.361300,20.810400,3.831809,0
1991-03-27,20.660700,21.259600,20.660700,20.660700,3.804245,0
1991-03-28,null,null,null,null,null,null
1991-03-29,null,null,null,null,null,null
1991-04-01,20.960100,21.559000,20.960100,21.559000,3.969649,0
1991-04-02,21.858400,22.457300,21.858400,22.457300,4.135052,0
1991-04-03,22.457300,23.056200,22.307600,22.756701,4.190180,0
1991-04-04,22.157900,22.906401,22.157900,22.906401,4.217744,0
1991-04-05,22.756701,24.253901,22.756701,24.104200,4.438295,0
1991-04-08,25.152201,25.601299,24.852699,25.451599,4.686392,0
1991-04-09,25.152201,26.349899,25.152201,25.451599,4.686392,0
1991-04-10,null,null,null,null,null,null
1991-04-11,25.451599,25.900700,25.451599,25.900700,4.769083,0
1991-04-12,26.799000,27.547600,26.649300,26.799000,4.934487,0
1991-04-15,27.547600,28.146500,27.098499,27.248199,5.017198,0
1991-04-16,27.547600,27.547600,26.050400,26.799000,4.934487,0
1991-04-17,null,null,null,null,null,null
1991-04-18,26.349899,27.098499,25.900700,26.649300,4.906923,0
1991-04-19,26.649300,27.397900,26.649300,26.948700,4.962051,0
1991-04-22,26.948700,27.397900,26.649300,27.248199,5.017198,0
1991-04-23,26.799000,27.098499,26.649300,26.948700,4.962051,0
1991-04-24,26.948700,27.248199,26.649300,26.948700,4.962051,0
1991-04-25,27.397900,27.547600,26.799000,26.948700,4.962051,0
1991-04-26,27.248199,27.397900,26.799000,26.948700,4.962051,0
1991-04-29,26.649300,27.098499,26.349899,26.948700,4.962051,0
1991-04-30,26.649300,26.948700,26.499599,26.649300,4.906923,0
1991-05-01,null,null,null,null,null,null
1991-05-02,null,null,null,null,null,null
1991-05-03,27.847000,28.595600,27.697300,27.847000,5.127455,0
1991-05-06,27.697300,27.847000,26.948700,27.098499,4.989633,0
1991-05-07,26.799000,27.397900,26.649300,27.098499,4.989633,0
1991-05-08,27.847000,27.847000,27.248199,27.248199,5.017198,0
1991-05-09,27.098499,27.248199,26.948700,27.098499,4.989633,0
1991-05-10,27.397900,27.847000,27.397900,27.547600,5.072327,0
1991-05-13,27.547600,27.996700,27.248199,27.248199,5.017198,0
1991-05-14,27.248199,27.397900,26.948700,27.397900,5.044763,0
1991-05-15,null,null,null,null,null,null
1991-05-16,27.248199,27.397900,26.948700,27.098499,4.989633,0
1991-05-17,27.248199,27.547600,27.098499,27.098499,4.989633,0
1991-05-20,26.948700,27.248199,26.799000,27.098499,4.989633,0
1991-05-21,27.098499,27.697300,27.098499,27.547600,5.072327,0
1991-05-22,null,null,null,null,null,null
1991-05-23,26.948700,27.397900,26.948700,27.098499,4.989633,0
1991-05-24,null,null,null,null,null,null
1991-05-27,26.948700,27.248199,26.799000,26.948700,4.962051,0
1991-05-28,null,null,null,null,null,null
1991-05-29,26.948700,26.948700,26.948700,26.948700,4.962051,0
1991-05-30,27.248199,27.248199,26.649300,26.799000,4.934487,0
1991-05-31,26.499599,28.745300,26.349899,27.248199,5.017198,0
1991-06-03,27.098499,27.248199,26.799000,26.948700,4.962051,0
1991-06-04,26.799000,27.248199,26.799000,26.948700,4.962051,0
1991-06-05,26.948700,27.397900,26.499599,26.799000,4.934487,0
1991-06-06,27.397900,27.397900,26.649300,26.649300,4.906923,0
1991-06-07,26.948700,27.098499,26.349899,26.649300,4.906923,0
1991-06-10,null,null,null,null,null,null
1991-06-11,27.098499,27.248199,26.649300,26.948700,4.962051,0
1991-06-12,27.248199,27.397900,26.948700,27.397900,5.044763,0
1991-06-13,27.397900,27.697300,26.649300,26.948700,4.962051,0
