Keuwl Accelerometer Data File
2020-08-26 16-28-36

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.065841,0.003591,9.751583,9.751806,0.387654,176.877869
0.0100070,-0.069432,-0.004788,9.753978,9.754226,0.408304,183.945190
0.0199960,-0.069432,-0.002394,9.746795,9.747043,0.408783,181.974930
0.0300010,-0.071826,0.005986,9.737218,9.737485,0.424285,175.236359
0.0400430,-0.063446,0.001197,9.752781,9.752988,0.373253,178.919083
0.0500010,-0.065841,-0.013168,9.747993,9.748224,0.395153,191.309937
0.0600630,-0.062249,-0.007183,9.747993,9.748194,0.367973,186.581940
0.0699970,-0.069432,-0.002394,9.747993,9.748240,0.408783,181.974930
0.0800040,-0.058658,-0.004788,9.743204,9.743382,0.345484,184.666855
0.0900480,-0.063446,-0.004788,9.750386,9.750594,0.374300,184.316025
0.0999980,-0.061052,-0.008380,9.751583,9.751778,0.362077,187.815292
0.1100170,-0.061052,-0.013168,9.742006,9.742207,0.367441,192.171463
0.1199910,-0.065841,-0.003591,9.752781,9.753004,0.387654,183.122131
0.1299990,-0.059855,-0.009577,9.738416,9.738605,0.356632,189.090271
0.1400530,-0.070629,-0.010774,9.747993,9.748255,0.420114,188.673172
0.1500160,-0.069432,-0.003591,9.739613,9.739861,0.408783,182.960938
0.1600820,-0.065841,0.015562,9.746795,9.747029,0.397621,166.701431
0.1700070,-0.062249,-0.011971,9.755175,9.755381,0.372203,190.885529
0.1800800,-0.071826,-0.002394,9.752781,9.753046,0.422436,181.909149
0.1900230,-0.075417,-0.002394,9.746795,9.747087,0.443231,181.818298
0.2000180,-0.057461,0.009577,9.750386,9.750560,0.342069,170.537674
0.2100130,-0.067038,-0.007183,9.745598,9.745831,0.396636,186.115509
0.2199970,-0.063446,0.008380,9.746795,9.747005,0.375865,172.476181
0.2300040,-0.063446,0.001197,9.744401,9.744608,0.373253,178.919083
0.2400190,-0.077812,-0.005986,9.755175,9.755486,0.457996,184.398712
0.2500230,-0.067038,-0.010774,9.750386,9.750623,0.399095,189.130173
0.2600270,-0.068235,-0.010774,9.746795,9.747040,0.406382,188.972626
0.2700690,-0.070629,-0.003591,9.749189,9.749446,0.415430,182.910843
0.2800000,-0.061052,-0.002394,9.734824,9.735016,0.359365,182.245743
0.2900050,-0.067038,-0.001197,9.757569,9.757799,0.393167,181.023026
0.3000240,-0.069432,-0.001197,9.746795,9.747042,0.407824,180.987762
0.3100330,-0.073023,0.004788,9.742006,9.742281,0.430239,176.248276
0.3200360,-0.073023,0.002394,9.751583,9.751857,0.429328,178.122116
0.3300050,-0.056264,0.001197,9.746795,9.746957,0.330431,178.781128
0.3401980,-0.065841,0.001197,9.742006,9.742229,0.387149,178.958374
0.3500080,-0.063446,0.001197,9.749189,9.749396,0.373253,178.919083
0.3600470,-0.067038,-0.009577,9.747993,9.748228,0.398113,188.130096
0.3700130,-0.064643,-0.014365,9.755175,9.755400,0.389165,192.528809
0.3800010,-0.067038,-0.002394,9.752781,9.753012,0.394161,182.045410
0.3900110,-0.059855,-0.009577,9.743204,9.743393,0.356632,189.090271
0.4000130,-0.073023,0.008380,9.749189,9.749466,0.431601,173.453705
0.4101660,-0.065841,-0.003591,9.742006,9.742229,0.387654,183.122131
0.4200080,-0.063446,-0.005986,9.743204,9.743412,0.374300,185.389313
0.4300130,-0.069432,0.004788,9.742006,9.742255,0.409739,176.054810
0.4400340,-0.067038,0.003591,9.746795,9.747026,0.395153,176.933517
0.4500090,-0.064643,0.002394,9.740809,9.741024,0.380522,177.878906
0.4600070,-0.064643,0.002394,9.739613,9.739827,0.380522,177.878906
0.4700250,-0.062249,-0.002394,9.744401,9.744600,0.366375,182.202591
0.4800940,-0.065841,-0.007183,9.756371,9.756597,0.389165,186.225830
0.4900180,-0.061052,-0.007183,9.752781,9.752975,0.360994,186.709839
0.5000290,-0.067038,-0.002394,9.749189,9.749420,0.394161,182.045410
0.5100099,-0.076614,-0.002394,9.740809,9.741111,0.450674,181.789917
0.5199840,-0.068235,-0.003591,9.750386,9.750626,0.401538,183.012787
0.5299910,-0.073023,-0.008380,9.753978,9.754254,0.431601,186.546295
0.5400210,-0.069432,-0.005986,9.744401,9.744651,0.410216,184.927109
0.5501230,-0.064643,-0.004788,9.742006,9.742222,0.381036,184.236389
0.5599980,-0.070629,-0.007183,9.743204,9.743463,0.417310,185.806732
0.5699860,-0.064643,-0.013168,9.733627,9.733850,0.388158,191.513824
0.5800140,-0.071826,-0.011971,9.751583,9.751855,0.427958,189.462326
0.5900060,-0.064643,-0.011971,9.742006,9.742229,0.387149,190.491470
0.6000320,-0.067038,-0.007183,9.749189,9.749422,0.395648,186.115509
0.6100080,-0.059855,-0.005986,9.755175,9.755360,0.352770,185.710587
0.6200449,-0.065841,-0.009577,9.751583,9.751810,0.390671,188.275894
0.6299909,-0.062249,-0.002394,9.746795,9.746994,0.366375,182.202591
0.6399930,-0.075417,-0.002394,9.753978,9.754270,0.443231,181.818298
0.6500140,-0.068235,-0.013168,9.757569,9.757817,0.408304,190.922806
0.6600020,-0.074220,-0.013168,9.743204,9.743496,0.443231,190.060684
0.6699960,-0.070629,0.002394,9.740809,9.741066,0.415901,178.058517
0.6800100,-0.067038,0.005986,9.751583,9.751816,0.395648,174.897842
0.6901940,-0.067038,-0.009577,9.757569,9.757804,0.397129,188.130096
0.7000170,-0.070629,0.004788,9.747993,9.748250,0.416371,176.121475
0.7099920,-0.064643,-0.003591,9.747993,9.748207,0.380007,183.179825
0.7200209,-0.073023,-0.005986,9.742006,9.742282,0.431147,184.685898
0.7299960,-0.067038,-0.004788,9.752781,9.753013,0.395153,184.085617
0.7400470,-0.068235,0.003591,9.740809,9.741049,0.401538,176.987213
0.7500160,-0.062249,0.003591,9.740809,9.741009,0.366375,176.698135
0.7601190,-0.068235,-0.001197,9.745598,9.745836,0.400563,181.005081
0.7700229,-0.067038,-0.001197,9.749189,9.749420,0.394161,181.023026
0.7799950,-0.062249,-0.007183,9.747993,9.748194,0.367973,186.581940
0.7900199,-0.057461,0.004788,9.747993,9.748163,0.339197,175.236359
0.8000080,-0.068235,-0.004788,9.752781,9.753021,0.402025,184.014175
0.8100210,-0.062249,-0.005986,9.749189,9.749390,0.367441,185.492325
0.8200130,-0.063446,-0.014365,9.740809,9.741027,0.382573,192.757538
0.8299940,-0.073023,-0.013168,9.745598,9.745880,0.436111,190.222168
0.8400100,-0.062249,-0.023942,9.753978,9.754206,0.391671,201.037506
0.8499980,-0.067038,-0.005986,9.742006,9.742239,0.396142,185.102158
0.8600100,-0.070629,-0.005986,9.756371,9.756629,0.416371,184.843994
0.8699900,-0.070629,-0.009577,9.756371,9.756632,0.418714,187.721832
0.8800340,-0.071826,-0.009577,9.753978,9.754247,0.425666,187.594650
0.8900010,-0.063446,-0.014365,9.749189,9.749407,0.382573,192.757538
0.8999860,-0.059855,0.004788,9.743204,9.743389,0.353324,175.426086
0.9100090,-0.070629,-0.005986,9.742006,9.742264,0.416371,184.843994
0.9199770,-0.073023,-0.007183,9.746795,9.747071,0.431601,185.617584
0.9299960,-0.069432,0.004788,9.742006,9.742255,0.409739,176.054810
0.9400080,-0.062249,-0.004788,9.749189,9.749390,0.367441,184.398712
0.9501040,-0.061052,-0.004788,9.745598,9.745790,0.360452,184.484604
0.9600090,-0.061052,-0.005986,9.750386,9.750579,0.359909,185.599335
0.9699910,-0.058658,-0.009577,9.744401,9.744582,0.349426,189.272598
0.9800140,-0.065841,-0.013168,9.745598,9.745830,0.395153,191.309937
0.9900010,-0.069432,-0.005986,9.745598,9.745847,0.409261,184.927109
1.0000470,-0.070629,-0.004788,9.746795,9.747052,0.416371,183.878525
1.0100120,-0.070629,-0.002394,9.755175,9.755430,0.414959,181.941483
1.0199859,-0.064643,-0.004788,9.753978,9.754193,0.381036,184.236389
1.0300020,-0.069432,-0.007183,9.746795,9.747045,0.410216,185.906143
1.0399859,-0.073023,-0.014365,9.745598,9.745882,0.437455,191.129196
1.0500339,-0.065841,-0.002394,9.743204,9.743426,0.387149,182.082565
1.0600040,-0.071826,-0.009577,9.757569,9.757838,0.425206,187.594650
1.0700530,-0.064643,-0.005986,9.749189,9.749405,0.381036,185.290085
1.0800130,-0.067038,-0.010774,9.752781,9.753017,0.399095,189.130173
1.0900220,-0.064643,-0.008380,9.747993,9.748211,0.383595,187.386047
1.1000140,-0.068235,-0.005986,9.739613,9.739854,0.403483,185.013107
1.1100320,-0.074220,0.002394,9.753978,9.754261,0.436559,178.152390
1.1201130,-0.064643,0.002394,9.752781,9.752995,0.380007,177.878906
1.1300080,-0.067038,-0.002394,9.743204,9.743435,0.394161,182.045410
1.1400030,-0.064643,0.004788,9.750386,9.750602,0.381036,175.763611
1.1500189,-0.059855,-0.002394,9.745598,9.745782,0.352215,182.290604
1.1600120,-0.053870,-0.003591,9.740809,9.740959,0.317752,183.814072
1.1700729,-0.065841,-0.004788,9.751583,9.751806,0.387654,184.159637
1.1800070,-0.069432,-0.016759,9.747993,9.748255,0.420114,193.570435
1.1899999,-0.067038,-0.003591,9.756371,9.756602,0.394161,183.066483
1.2000209,-0.061052,-0.008380,9.755175,9.755369,0.362077,187.815292
1.2100220,-0.067038,0.002394,9.747993,9.748223,0.394161,177.954590
1.2200329,-0.059855,0.005986,9.742006,9.742192,0.353878,174.289413
1.2299919,-0.056264,0.002394,9.757569,9.757732,0.331022,177.563354
1.2400110,-0.065841,0.002394,9.753978,9.754200,0.386643,177.917435
1.2500230,-0.070629,-0.008380,9.744401,9.744660,0.418247,186.766174
1.2600340,-0.067038,-0.008380,9.752781,9.753015,0.396636,187.125015
1.2700000,-0.070629,0.003591,9.746795,9.747051,0.415901,177.089157
1.2799960,-0.058658,0.003591,9.749189,9.749367,0.345484,176.496475
1.2899868,-0.061052,-0.007183,9.757569,9.757763,0.360994,186.709839
1.3000280,-0.057461,-0.007183,9.755175,9.755346,0.339773,187.125015
1.3099920,-0.073023,-0.001197,9.752781,9.753055,0.429328,180.939194
1.3200430,-0.064643,-0.009577,9.745598,9.745817,0.384613,188.426971
1.3300029,-0.065841,-0.007183,9.753978,9.754203,0.389165,186.225830
1.3399920,-0.069432,-0.017957,9.743204,9.743468,0.421973,194.500168
1.3500110,-0.062249,-0.009577,9.747993,9.748197,0.370623,188.746170
1.3599960,-0.059855,-0.004788,9.746795,9.746980,0.352770,184.573914
1.3700070,-0.071826,-0.004788,9.738416,9.738682,0.423362,183.814072
1.3800060,-0.068235,-0.004788,9.746795,9.747035,0.402512,184.014175
1.3899900,-0.068235,-0.007183,9.745598,9.745839,0.402998,186.009003
1.4000100,-0.073023,0.001197,9.752781,9.753055,0.429328,179.060806
1.4099989,-0.068235,0.001197,9.745598,9.745836,0.400563,178.994919
1.4200430,-0.061052,-0.014365,9.746795,9.746997,0.369035,193.240524
1.4300089,-0.065841,-0.003591,9.737218,9.737441,0.387654,183.122131
1.4400039,-0.058658,-0.005986,9.753978,9.754156,0.346615,185.826340
1.4500189,-0.070629,0.001197,9.751583,9.751839,0.414959,179.028976
1.4600029,-0.067038,0.001197,9.747993,9.748223,0.394161,178.976974
1.4700029,-0.056264,-0.003591,9.757569,9.757732,0.331022,183.652222
1.4800110,-0.067038,0.007183,9.743204,9.743438,0.396636,173.884491
1.4900029,-0.059855,-0.002394,9.752781,9.752965,0.352215,182.290604
1.5000160,-0.064643,-0.002394,9.738416,9.738630,0.380522,182.121094
1.5100029,-0.068235,0.001197,9.743204,9.743443,0.401051,178.994919
1.5201020,-0.070629,-0.002394,9.751583,9.751840,0.415430,181.941483
1.5300159,-0.070629,-0.013168,9.757569,9.757834,0.422436,190.561005
1.5400199,-0.068235,0.003591,9.757569,9.757809,0.401538,176.987213
1.5500230,-0.064643,-0.008380,9.743204,9.743422,0.382573,187.386047
1.5600220,-0.073023,0.008380,9.746795,9.747072,0.432507,173.453705
1.5700229,-0.061052,-0.003591,9.744401,9.744593,0.359365,183.366455
1.5800459,-0.063446,-0.008380,9.758766,9.758976,0.375865,187.523819
1.5899929,-0.067038,-0.007183,9.749189,9.749422,0.395648,186.115509
1.6001099,-0.065841,-0.013168,9.756371,9.756602,0.394161,191.309937
1.6100401,-0.065841,-0.001197,9.740809,9.741032,0.387149,181.041626
1.6200420,-0.067038,-0.001197,9.745598,9.745829,0.394161,181.023026
1.6301069,-0.067038,-0.013168,9.747993,9.748232,0.401538,191.113037
1.6400170,-0.068235,-0.013168,9.747993,9.748240,0.408783,190.922806
1.6500120,-0.065841,-0.002394,9.755175,9.755397,0.386643,182.082565
1.6600349,-0.055067,0.002394,9.746795,9.746950,0.323851,177.510452
1.6700170,-0.061052,-0.005986,9.740809,9.741002,0.360452,185.599335
1.6800550,-0.064643,-0.002394,9.753978,9.754192,0.380007,182.121094
1.6902119,-0.070629,-0.005986,9.755175,9.755432,0.416371,184.843994
1.7000870,-0.062249,-0.002394,9.744401,9.744600,0.366375,182.202591
1.7100348,-0.065841,-0.008380,9.745598,9.745824,0.390170,187.253189
1.7200469,-0.070629,-0.011971,9.747993,9.748256,0.421044,189.619720
1.7300479,-0.073023,-0.008380,9.753978,9.754254,0.431601,186.546295
1.7408969,-0.074220,-0.010774,9.757569,9.757857,0.440130,188.259445
1.7500569,-0.067038,-0.016759,9.752781,9.753026,0.406382,194.036240
1.7600490,-0.063446,-0.005986,9.751583,9.751791,0.374300,185.389313
1.7700800,-0.062249,-0.003591,9.743204,9.743403,0.366375,183.301865
1.7800500,-0.068235,0.007183,9.757569,9.757811,0.402998,173.990997
1.7900729,-0.059855,0.007183,9.747993,9.748178,0.353878,173.157227
1.8000340,-0.062249,0.007183,9.742006,9.742208,0.368505,173.418060
1.8100410,-0.061052,-0.009577,9.747993,9.748189,0.363695,188.914932
1.8200749,-0.070629,-0.013168,9.759963,9.760228,0.422436,190.561005
1.8300580,-0.062249,-0.003591,9.753978,9.754177,0.366375,183.301865
1.8401599,-0.064643,0.005986,9.749189,9.749405,0.381036,174.709915
1.8500290,-0.068235,-0.007183,9.758766,9.759007,0.402998,186.009003
1.8600349,-0.065841,-0.007183,9.763555,9.763779,0.388158,186.225830
1.8700619,-0.067038,-0.002394,9.752781,9.753012,0.394161,182.045410
1.8801038,-0.068235,-0.009577,9.749189,9.749433,0.404452,187.989334
